RESSIMCode,Baseline,DcmPenstock,StnService,RcnPnstck,Year,maxElvDif_m
DET,NA,T,T,NA,2011,0.75
BCL,NA,NA,NA,NA,2011,NA
GPR,NA,T,T,NA,2011,30
FOS,NA,T,T,NA,2011,10
CGR,NA,T,T,NA,2011,0.75
HCR,NA,T,T,NA,2011,0.75
MFR,NA,NA,NA,NA,2011,NA
LOP,NA,T,T,NA,2011,0.75
DEX,NA,NA,NA,NA,2011,NA
DET,NA,T,T,NA,2015,30
BCL,NA,NA,NA,NA,2015,NA
GPR,NA,T,T,NA,2015,30
FOS,NA,T,T,NA,2015,10
CGR,NA,T,T,NA,2015,0.75
HCR,NA,T,T,NA,2015,0.75
MFR,NA,NA,NA,NA,2015,NA
LOP,NA,T,T,NA,2015,20
DEX,NA,NA,NA,NA,2015,NA
DET,NA,T,T,NA,2016,0.75
BCL,NA,NA,NA,NA,2016,NA
GPR,NA,T,T,NA,2016,30
FOS,NA,T,T,NA,2016,10
CGR,NA,T,T,NA,2016,10
HCR,NA,T,T,NA,2016,0.75
MFR,NA,NA,NA,NA,2016,NA
LOP,NA,T,T,NA,2016,0.75
DEX,NA,NA,NA,NA,2016,NA
